id1,id2,weight
arrastão,assalto,1
arreação,sangria,1
arrebatamento,ação,1
arrebentação,ação,1
arreio,sela,1
arremate,ato,1
arremedo,imitação,1
arremetida,investida,1
arrependimento,remorso,1
arrepio,calafrio,1
arresto,confisco,1
arriba,riba,1
arribação,ato,1
arriel,aro,1
arritmia,falta,1
arroba,medida,1
arroba,sinal,1
arrocho,aperto,1
arrogância,orgulho,1
arroio,curso,1
arroto,erupção,1
arroz,gramínea,1
arroz-doce,arroz,1
arruaça,tumulto,1
arruela,desgaste,1
arrufo,zanga,1
arrumação,ação,1
arsênio,corpo,1
arte,a,1
artelho,articulação,1
artéria,vaso,1
artesanato,obra,1
articulação,ação,1
articulação,modo,1
artifício,arte,1
artigo,vocábulo,1
artigo,escrito,1
artigo,parte,1
artilharia,arsenal,1
artilheiro,artilharia,1
artilheiro,jogo,1
artimanha,artifício,1
artista,belas-artes,1
artista,sentimento,1
artrite,inflamação,1
artrópode,divisão,1
árvore,tronco,1
ás,carta,1
asa,apêndice,1
asa,barbatana,1
asa,apêndice,1
ascarídeos,família,1
ascensão,ato,1
ascensão,efeméride,1
asceta,entrega,1
asco,nojo,1
asfalto,betume,1
asilo,lugar,1
asma,doença,1
asneira,tolice,1
asno,burro,1
asno,e,1
aspa,chifre,1
aspa,sinal,1
aspersão,ato,1
aspersório,instrumento,1
assalariado,serviço,1
assalto,ataque,1
assédio,cerco,1
asseio,limpeza,1
asseio,esmero,1
assembléia,reunião,1
assentimento,anuência,1
assessoria,função,1
assimetria,falta,1
assinatura,ação,1
assinatura,nome,1
assíndeto,falta,1
assistência,ato,1
assobio,ar,1
associação,ato,1
assombração,pavor,1
assombro,admiração,1
assomo,aparecimento,1
assopradela,ação,1
assoreamento,acúmulo,1
assunção,ato,1
assunção,a,1
assunto,matéria,1
assunto,argumento,1
astenia,fraqueza,1
asterisco,sinal,1
asteróide,forma,1
astigmatismo,anomalia,1
astro,corpo,1
astro,ator,1
astrofísica,estudo,1
astrolábio,instrumento,1
astrologia,arte,1
astronáutica,ciência,1
astronomia,ciência,1
astúcia,esperteza,1
ata,registro,1
atabaque,tambor,1
atacadista,negociante,1
atacadista,comércio,1
atadura,ação,1
atalaia,vigia,1
atalaia,torre,1
atalho,caminho,1
ataque,assalto,1
ataúde,caixão,1
atéia,forma,1
ateísmo,ausência,1
ateliê,oficina,1
atenção,ação,1
atenção,cuidado,1
ateneu,escola,1
atentado,afronta,1
aterrissagem,ato,1
aterro,ato,1
ateu,deus,1
atilamento,juízo,1
